=== ЛОГ ЭПИЗОДА 100 ===
Цель находится в позиции: [-1.3061504  -0.49281315]
--------------------------------------------------
Шаг: 154 | Действие: 0 | Поз: (0.00, -0.02) | Угол: -0.02 | Награда: 0.23
Шаг: 155 | Действие: 1 | Поз: (0.01, -0.02) | Угол: -0.02 | Награда: -0.62
Шаг: 156 | Действие: 2 | Поз: (0.01, -0.02) | Угол: -0.02 | Награда: -0.03
Шаг: 157 | Действие: 0 | Поз: (0.01, -0.02) | Угол: -0.02 | Награда: 0.33
Шаг: 158 | Действие: 0 | Поз: (0.01, -0.03) | Угол: -0.02 | Награда: 0.14
Шаг: 159 | Действие: 0 | Поз: (0.00, -0.03) | Угол: -0.02 | Награда: 0.21
Шаг: 160 | Действие: 0 | Поз: (0.00, -0.04) | Угол: -0.02 | Награда: 0.36
Шаг: 161 | Действие: 3 | Поз: (0.00, -0.03) | Угол: -0.02 | Награда: -0.15
Шаг: 162 | Действие: 1 | Поз: (0.00, -0.03) | Угол: -0.02 | Награда: -0.33
Шаг: 163 | Действие: 3 | Поз: (0.00, -0.03) | Угол: -0.02 | Награда: 0.08
Шаг: 164 | Действие: 4 | Поз: (0.00, -0.03) | Угол: -0.02 | Награда: 0.03
Шаг: 165 | Действие: 4 | Поз: (0.00, -0.03) | Угол: -0.02 | Награда: 0.01
Шаг: 166 | Действие: 1 | Поз: (0.00, -0.02) | Угол: -0.01 | Награда: -0.03
Шаг: 167 | Действие: 3 | Поз: (0.00, -0.02) | Угол: -0.01 | Награда: -0.20
Шаг: 168 | Действие: 4 | Поз: (0.00, -0.02) | Угол: -0.01 | Награда: -0.01
Шаг: 169 | Действие: 3 | Поз: (0.00, -0.02) | Угол: -0.01 | Награда: -0.01
Шаг: 170 | Действие: 4 | Поз: (0.00, -0.02) | Угол: -0.01 | Награда: -0.03
Шаг: 171 | Действие: 3 | Поз: (0.00, -0.02) | Угол: -0.01 | Награда: 0.01
Шаг: 172 | Действие: 4 | Поз: (0.00, -0.02) | Угол: -0.01 | Награда: -0.07
Шаг: 173 | Действие: 0 | Поз: (0.00, -0.03) | Угол: -0.02 | Награда: 0.44
Шаг: 174 | Действие: 1 | Поз: (0.00, -0.02) | Угол: -0.01 | Награда: -0.17
Шаг: 175 | Действие: 3 | Поз: (0.00, -0.02) | Угол: -0.01 | Награда: -0.14
Шаг: 176 | Действие: 3 | Поз: (0.00, -0.02) | Угол: -0.01 | Награда: -0.00
Шаг: 177 | Действие: 4 | Поз: (0.00, -0.02) | Угол: -0.01 | Награда: -0.01
Шаг: 178 | Действие: 0 | Поз: (0.00, -0.03) | Угол: -0.02 | Награда: 0.12
Шаг: 179 | Действие: 3 | Поз: (0.00, -0.05) | Угол: -0.03 | Награда: 0.90
Шаг: 180 | Действие: 4 | Поз: (0.00, -0.05) | Угол: -0.03 | Награда: 0.15
Шаг: 181 | Действие: 2 | Поз: (0.00, -0.05) | Угол: -0.04 | Награда: -0.02
Шаг: 182 | Действие: 3 | Поз: (0.00, -0.05) | Угол: -0.04 | Награда: 0.09
Шаг: 183 | Действие: 2 | Поз: (0.00, -0.05) | Угол: -0.04 | Награда: -0.05
Шаг: 184 | Действие: 3 | Поз: (0.00, -0.05) | Угол: -0.04 | Награда: 0.00
Шаг: 185 | Действие: 0 | Поз: (0.00, -0.06) | Угол: -0.04 | Награда: 0.19
Шаг: 186 | Действие: 1 | Поз: (-0.00, -0.06) | Угол: -0.04 | Награда: 0.29
Шаг: 187 | Действие: 4 | Поз: (-0.00, -0.06) | Угол: -0.04 | Награда: -0.02
Шаг: 188 | Действие: 3 | Поз: (-0.00, -0.06) | Угол: -0.04 | Награда: -0.01
Шаг: 189 | Действие: 1 | Поз: (-0.00, -0.06) | Угол: -0.04 | Награда: 0.10
Шаг: 190 | Действие: 2 | Поз: (0.02, -0.06) | Угол: -0.04 | Награда: -1.72
Шаг: 191 | Действие: 3 | Поз: (0.01, -0.06) | Угол: -0.04 | Награда: 0.06
Шаг: 192 | Действие: 2 | Поз: (0.01, -0.06) | Угол: -0.04 | Награда: -0.05
Шаг: 193 | Действие: 0 | Поз: (0.01, -0.06) | Угол: -0.04 | Награда: 0.31
Шаг: 194 | Действие: 4 | Поз: (0.01, -0.06) | Угол: -0.04 | Награда: 0.04
Шаг: 195 | Действие: 4 | Поз: (0.01, -0.05) | Угол: -0.04 | Награда: 0.03
Шаг: 196 | Действие: 3 | Поз: (0.01, -0.06) | Угол: -0.04 | Награда: 0.16
Шаг: 197 | Действие: 0 | Поз: (0.01, -0.06) | Угол: -0.04 | Награда: 0.17
Шаг: 198 | Действие: 2 | Поз: (0.01, -0.06) | Угол: -0.04 | Награда: 0.17
Шаг: 199 | Действие: 4 | Поз: (0.01, -0.06) | Угол: -0.04 | Награда: 0.03
Шаг: 200 | Действие: 3 | Поз: (0.01, -0.06) | Угол: -0.04 | Награда: -0.07
Шаг: 201 | Действие: 0 | Поз: (0.01, -0.06) | Угол: -0.04 | Награда: 0.04
Шаг: 202 | Действие: 2 | Поз: (0.01, -0.06) | Угол: -0.04 | Награда: 0.07
Шаг: 203 | Действие: 0 | Поз: (0.01, -0.07) | Угол: -0.05 | Награда: 0.16
Шаг: 204 | Действие: 2 | Поз: (0.01, -0.07) | Угол: -0.05 | Награда: 0.12
Шаг: 205 | Действие: 1 | Поз: (0.00, -0.07) | Угол: -0.05 | Награда: 0.14
Шаг: 206 | Действие: 1 | Поз: (-0.00, -0.06) | Угол: -0.04 | Награда: 0.23
Шаг: 207 | Действие: 2 | Поз: (0.00, -0.07) | Угол: -0.05 | Награда: -0.10
Шаг: 208 | Действие: 4 | Поз: (0.00, -0.07) | Угол: -0.05 | Награда: -0.01
Шаг: 209 | Действие: 2 | Поз: (0.00, -0.07) | Угол: -0.05 | Награда: 0.05
Шаг: 210 | Действие: 1 | Поз: (-0.00, -0.07) | Угол: -0.05 | Награда: 0.09
Шаг: 211 | Действие: 4 | Поз: (0.00, -0.07) | Угол: -0.05 | Награда: -0.15
Шаг: 212 | Действие: 2 | Поз: (0.00, -0.07) | Угол: -0.05 | Награда: -0.03
Шаг: 213 | Действие: 4 | Поз: (0.00, -0.07) | Угол: -0.05 | Награда: -0.05
Шаг: 214 | Действие: 4 | Поз: (0.00, -0.07) | Угол: -0.05 | Награда: -0.01
Шаг: 215 | Действие: 0 | Поз: (0.00, -0.07) | Угол: -0.05 | Награда: 0.02
Шаг: 216 | Действие: 0 | Поз: (-0.00, -0.08) | Угол: -0.09 | Награда: 0.90
Шаг: 217 | Действие: 4 | Поз: (-0.00, -0.09) | Угол: -0.09 | Награда: 0.11
Шаг: 218 | Действие: 4 | Поз: (-0.00, -0.09) | Угол: -0.09 | Награда: 0.01
Шаг: 219 | Действие: 1 | Поз: (-0.00, -0.08) | Угол: -0.08 | Награда: 0.02
Шаг: 220 | Действие: 4 | Поз: (-0.00, -0.08) | Угол: -0.08 | Награда: -0.08
